"Time","RPS-testing","CPU-testing","p95-testing","replicas-testing","RPS-rl-agent-e1-a2c","CPU-rl-agent-e1-a2c","p95-rl-agent-e1-a2c","replicas-rl-agent-e1-a2c","memory-rl-agent-e1-a2c","RPS-rl-agent-e1-ppo","CPU-rl-agent-e1-ppo","p95-rl-agent-e1-ppo","replicas-rl-agent-e1-ppo","memory-rl-agent-e1-ppo","RPS-rl-agent-e3-1","CPU-rl-agent-e3-1","p95-rl-agent-e3-1","replicas-rl-agent-e3-1","memory-rl-agent-e3-1","RPS-rl-agent-e3-2","CPU-rl-agent-e3-2","p95-rl-agent-e3-2","replicas-rl-agent-e3-2","memory-rl-agent-e3-2","RPS-default","CPU-default","p95-default","replicas-default","memory-default","dep_RPS-testing","dep_RPS-default","dep_RPS-rl-agent-e1-a2c","dep_RPS-rl-agent-e1-ppo","dep_RPS-rl-agent-e3-1","dep_RPS-rl-agent-e3-2"
2023-07-23 00:26:00,153,20.2,1.29,1,770,100,4.81,3,0.713,514,69.3,4.12,6,0.589,2368,142,145,1,1.04,524,69.4,4.01,5,0.585,153,19.5,0.498,1,0.467,153,153,3078,3082,2368,2620
2023-07-23 00:28:00,160,21.8,1.44,1,766,75.3,7.10,4,0.358,513,69.9,4.16,6,0.617,2378,151,162,1,1.12,526,68.5,3.95,5,0.415,156,22.4,0.495,1,0.386,160,156,3063,3080,2378,2628
2023-07-23 00:30:00,52.8,9.88,3.56,3,773,99.6,4.84,3,0.627,516,69.8,4.15,6,0.485,657,65.4,4.64,4,0.489,523,69.3,3.95,5,0.506,160,23.0,0.498,1,0.394,158,160,3094,3098,2627,2617
2023-07-23 00:32:00,37.6,8.28,4.34,4,635,90.7,4.69,3,0.487,518,68.8,4.16,6,0.517,892,103,4.69,3,0.570,527,68.7,3.93,5,0.551,164,23.0,0.499,1,0.439,150,164,3174,3108,2676,2637
2023-07-23 00:34:00,51.6,9.34,3.82,3,778,77.5,7.31,4,0.449,519,70.1,4.18,6,0.597,664,67.7,4.58,4,0.383,523,68.7,3.91,5,0.630,155,22.2,0.499,1,0.409,155,155,3110,3114,2658,2617
2023-07-23 00:36:00,51.3,9.80,3.76,3,782,71.6,6.58,4,0.650,522,70.2,4.22,6,0.574,889,105,4.65,3,0.604,532,68.0,3.92,5,0.572,157,22.4,0.499,1,0.741,154,157,3127,3135,2666,2658
2023-07-23 00:38:00,39.1,,3.64,,622,,4.44,,,530,,4.18,,,656,,4.63,,,531,,3.91,,,157,,0.495,,,156,157,3111,3178,2624,2655
2023-07-23 00:40:00,53.4,11.8,3.74,3,638,69.8,4.34,5,0.555,527,70.6,4.16,6,0.473,2381,150,166,1,0.739,536,70.1,3.98,5,0.534,162,23.4,0.499,1,0.391,160,162,3189,3163,2381,2678
2023-07-23 00:42:00,52.5,10.4,3.92,2,791,97.8,4.72,3,0.636,532,71.1,4.18,6,0.618,2226,150,96.3,1,0.637,480,67.3,3.90,5,0.465,163,22.8,0.500,1,0.404,158,163,3165,3193,2226,2400
2023-07-23 00:44:00,52.8,10.6,3.64,3,623,85.5,4.51,4,0.575,537,70.4,4.17,6,0.552,633,86.4,4.57,3,0.533,495,64.4,3.92,5,0.474,157,21.4,0.499,1,0.611,159,157,3113,3222,2534,2473
2023-07-23 00:46:00,56.2,10.7,3.99,3,639,81.8,4.41,4,0.378,533,70.7,4.18,6,0.566,901,105,5.47,4,0.380,533,67.6,3.94,5,0.481,155,22.7,0.499,1,0.374,169,155,3194,3199,2704,2665
2023-07-23 00:48:00,38.5,8.51,4.20,4,802,101,7.63,4,0.721,540,70.0,4.21,6,0.541,554,87.5,4.46,3,0.459,535,68.8,3.94,5,0.465,156,22.5,0.494,1,0.551,154,156,3206,3238,2769,2673
2023-07-23 00:50:00,52.1,9.70,4.05,3,791,97.1,4.90,3,0.423,535,68.8,4.21,6,0.498,693,101,4.68,3,0.626,540,70.2,3.94,5,0.617,155,20.8,0.494,1,0.567,156,155,3162,3208,2773,2701
2023-07-23 00:52:00,48.0,9.36,3.89,3,660,90.3,4.65,3,0.529,537,71.0,4.21,6,0.520,694,97.9,4.88,3,0.456,544,70.0,3.98,5,0.575,158,22.0,0.493,1,0.788,144,158,3302,3220,2775,2720
2023-07-23 00:54:00,160,20.2,0.495,1,803,79.2,7.03,4,0.525,539,70.0,4.18,6,0.539,2402,143,195,1,0.837,542,69.3,3.97,5,0.530,155,22.0,0.491,1,0.423,160,155,3214,3232,2402,2708
2023-07-23 00:56:00,166,22.9,0.496,1,636,79.5,4.43,4,0.475,542,70.4,4.19,6,0.550,2402,152,212,1,1.05,542,70.4,3.94,5,0.404,166,23.4,0.496,1,0.472,166,166,3179,3253,2402,2709
2023-07-23 00:58:00,152,21.6,0.497,1,645,82.0,4.55,4,0.510,538,71.0,4.23,6,0.507,683,92.6,4.40,3,0.640,547,69.6,3.95,5,0.479,160,22.3,0.493,1,0.443,152,160,3223,3227,2730,2733
2023-07-23 01:00:00,157,20.9,0.499,1,645,67.6,4.45,5,0.467,544,70.5,4.23,6,0.526,919,104,4.90,3,0.548,539,68.9,3.95,5,0.398,158,22.0,0.492,1,0.426,157,158,3227,3262,2757,2695
2023-07-23 01:02:00,158,22.3,0.500,1,648,69.1,4.53,5,0.478,542,70.3,4.23,6,0.520,686,84.0,4.56,3,0.442,548,71.2,4.03,5,0.607,155,23.2,0.493,1,0.570,158,155,3240,3251,2742,2741
2023-07-23 01:04:00,154,22.3,0.497,1,811,98.0,4.88,3,0.650,547,71.6,4.27,6,0.594,699,99.2,4.85,3,0.536,548,70.1,4.00,5,0.476,161,22.6,0.492,1,0.415,154,161,3244,3280,2796,2738
2023-07-23 01:06:00,157,22.0,0.496,1,661,89.9,4.67,3,0.584,549,70.8,4.24,6,0.467,564,87.3,4.55,3,0.455,545,71.1,4.02,5,0.554,156,21.7,0.495,1,0.242,157,156,3304,3295,2822,2724
2023-07-23 01:08:00,156,22.0,0.497,1,663,87.4,4.61,3,0.550,551,69.8,4.24,6,0.554,703,99.6,4.69,3,0.671,550,71.3,4.04,5,0.457,153,22.7,0.495,1,0.450,156,153,3317,3306,2811,2749
2023-07-23 01:10:00,147,21.7,0.496,1,664,75.5,8.13,4,0.478,553,71.8,4.26,6,0.492,682,73.0,4.58,4,0.339,547,70.3,4.01,5,0.459,157,22.4,0.496,1,0.433,147,157,3320,3316,2728,2734
2023-07-23 01:12:00,151,21.9,0.498,1,660,69.0,7.98,4,0.496,555,70.7,4.29,6,0.571,697,81.8,4.73,4,0.358,550,69.7,4.02,5,0.407,155,22.6,0.496,1,0.343,151,155,3301,3330,2789,2750
2023-07-23 01:14:00,156,22.0,0.496,1,667,70.7,6.98,4,0.294,554,71.1,4.26,6,0.494,709,89.7,4.71,3,0.492,552,71.5,3.94,5,0.560,156,22.6,0.497,1,0.777,156,156,3335,3325,2834,2760
2023-07-23 01:16:00,159,21.0,0.496,1,795,89.2,9.04,4,0.406,556,71.0,4.28,6,0.584,714,101,4.49,3,0.621,554,71.1,3.96,5,0.496,163,21.4,0.498,1,0.274,159,163,3179,3334,2856,2771
2023-07-23 01:18:00,152,21.4,0.495,1,810,69.2,9.41,4,0.462,555,70.8,4.29,6,0.702,699,81.9,4.37,4,0.395,558,71.7,3.99,5,0.393,153,22.5,0.497,1,0.670,152,153,3239,3333,2796,2789
2023-07-23 01:20:00,157,22.3,0.498,1,810,88.8,7.45,4,0.628,558,72.0,4.33,6,0.599,934,110,34.8,3,0.470,553,69.8,3.98,5,0.455,159,21.8,0.494,1,0.744,157,159,3240,3349,2802,2766
2023-07-23 01:22:00,164,22.4,0.498,1,799,91.0,7.20,4,0.572,560,71.1,4.28,6,0.649,716,98.9,4.79,3,0.564,556,69.2,3.98,5,0.569,157,21.8,0.495,1,0.596,164,157,3195,3358,2863,2782
2023-07-23 01:24:00,153,22.2,0.496,1,833,89.9,8.54,4,0.605,558,71.7,4.31,6,0.491,716,99.2,4.63,3,0.492,561,71.0,4.05,5,0.521,155,22.5,0.495,1,0.586,153,155,3332,3351,2863,2803
2023-07-23 01:26:00,153,21.9,0.499,1,826,89.8,8.04,4,0.517,557,72.0,4.30,6,0.458,942,84.2,35.2,4,0.715,559,71.4,4.06,5,0.588,156,22.2,0.496,1,0.574,153,156,3302,3345,2825,2797
2023-07-23 01:28:00,160,21.0,0.498,1,824,89.5,8.74,4,0.597,559,71.9,4.27,6,0.577,942,98.0,4.71,3,0.548,563,72.0,4.02,5,0.484,150,21.4,0.493,1,0.417,160,150,3298,3356,2827,2813
2023-07-23 01:30:00,166,22.2,0.498,1,825,89.0,6.97,4,0.557,558,71.1,4.30,6,0.661,707,73.2,4.39,4,0.374,550,70.2,4.00,5,0.509,154,21.6,0.493,1,0.273,166,154,3301,3348,2826,2748
2023-07-23 01:32:00,154,23.0,0.498,1,809,86.7,8.51,4,0.613,559,71.6,4.29,6,0.534,953,108,21.0,2,0.708,559,71.0,4.04,5,0.650,154,22.5,0.496,1,0.310,154,154,3238,3355,2860,2793
2023-07-23 01:34:00,159,,0.496,1,815,,4.61,4,,562,2.21,4.32,6,0.0000435,953,,4.95,3,,558,6.12,3.89,5,0.000690,159,,0.494,1,,159,159,3260,3372,2858,2792
2023-07-23 01:36:00,153,,0.500,1,813,,4.57,4,,560,,4.31,6,,958,,6.24,3,,562,,3.98,5,,154,,0.493,1,,153,154,3251,3360,2873,2808
2023-07-23 01:38:00,152,16.0,0.498,1,795,67.1,4.64,4,0.357,549,54.2,4.36,6,0.326,960,78.4,7.79,3,0.408,566,54.1,4.04,5,0.371,159,16.4,0.496,1,0.575,152,159,3180,3293,2881,2832
2023-07-23 01:40:00,151,22.1,0.499,1,660,71.1,11.6,4,0.644,559,70.6,4.41,6,0.524,730,102,4.91,3,0.447,552,72.2,4.03,5,0.550,152,22.6,0.500,1,0.570,151,152,3299,3354,2920,2761
2023-07-23 01:42:00,158,22.2,0.498,1,635,70.8,10.8,4,0.560,557,70.3,4.37,6,0.597,717,77.6,4.97,4,0.458,564,71.8,4.08,5,0.550,150,21.4,0.498,1,0.448,158,150,3176,3339,2868,2819
2023-07-23 01:44:00,152,21.2,0.498,1,627,69.7,8.61,4,0.531,566,71.6,4.37,6,0.513,716,80.4,4.79,4,0.532,563,72.3,4.05,5,0.553,152,22.1,0.498,1,0.393,152,152,3136,3395,2865,2817
2023-07-23 01:46:00,159,21.0,1.17,1,652,69.8,11.2,4,0.496,562,70.5,4.40,6,0.600,727,80.4,38.0,3,0.547,568,72.8,4.07,5,0.585,152,22.5,1.05,1,0.452,159,152,3258,3371,2909,2841
2023-07-23 01:48:00,159,22.2,0.497,1,646,69.3,12.6,4,0.525,557,71.2,4.38,6,0.601,961,101,5.36,3,0.510,567,71.5,4.01,5,0.527,154,22.6,1.09,1,0.258,159,154,3228,3339,2882,2836
2023-07-23 01:50:00,155,22.1,0.500,1,651,69.3,11.1,4,0.582,555,69.9,4.36,6,0.599,724,80.0,7.17,4,0.580,560,71.4,4.02,5,0.519,154,22.8,1.43,1,0.591,155,154,3257,3332,2898,2801
2023-07-23 01:52:00,157,22.6,0.497,1,637,66.4,12.8,4,0.387,562,71.6,4.37,6,0.498,739,96.8,6.86,4,0.598,567,70.4,4.05,5,0.562,152,22.4,1.50,1,0.741,157,152,3187,3372,2955,2835
2023-07-23 01:54:00,160,21.9,0.495,1,637,88.1,9.62,4,0.715,560,70.0,4.38,6,0.643,719,79.9,4.86,4,0.749,570,71.7,4.07,5,0.355,157,21.8,1.03,1,0.478,160,157,3186,3360,2877,2848
2023-07-23 01:56:00,161,22.6,1.50,2,637,67.8,11.8,4,0.400,560,68.4,4.37,6,0.509,716,83.8,4.64,5,0.482,572,73.2,4.06,5,0.629,159,23.0,1.01,1,0.407,161,159,3183,3360,2864,2862
