"Time","RPS-testing","CPU-testing","p95-testing","replicas-testing","RPS-rl-agent-e1-a2c","CPU-rl-agent-e1-a2c","p95-rl-agent-e1-a2c","replicas-rl-agent-e1-a2c","memory-rl-agent-e1-a2c","RPS-rl-agent-e1-ppo","CPU-rl-agent-e1-ppo","p95-rl-agent-e1-ppo","replicas-rl-agent-e1-ppo","memory-rl-agent-e1-ppo","RPS-rl-agent-e3-1","CPU-rl-agent-e3-1","p95-rl-agent-e3-1","replicas-rl-agent-e3-1","memory-rl-agent-e3-1","RPS-rl-agent-e3-2","CPU-rl-agent-e3-2","p95-rl-agent-e3-2","replicas-rl-agent-e3-2","memory-rl-agent-e3-2","RPS-default","CPU-default","p95-default","replicas-default","memory-default","dep_RPS-testing","dep_RPS-default","dep_RPS-rl-agent-e1-a2c","dep_RPS-rl-agent-e1-ppo","dep_RPS-rl-agent-e3-1","dep_RPS-rl-agent-e3-2"
2023-07-24 11:15:00,600,83.8,4.59,4,551,78.7,4.53,3,0.549,285,47.6,4.42,5,0.531,620,82.4,4.44,3,0.649,379,59.0,4.21,5,0.583,483,67.6,4.07,5,0.510,2398,2414,1654,1709,1861,1896
2023-07-24 11:16:00,597,84.3,4.62,4,545,77.8,4.45,3,0.702,335,53.1,4.45,5,0.628,626,80.7,4.39,3,0.476,370,59.3,4.23,5,0.792,484,68.2,4.13,5,0.514,2387,2419,1634,1675,1879,1850
2023-07-24 11:17:00,596,84.3,4.62,4,536,76.9,4.46,3,0.639,337,57.7,4.53,5,0.645,628,82.9,4.36,3,0.753,375,58.9,4.18,5,0.882,483,68.8,4.10,5,0.412,2382,2417,1607,1687,1885,1877
2023-07-24 11:18:00,597,84.0,4.59,4,541,76.6,4.45,3,0.638,331,57.8,4.50,5,0.642,618,82.8,4.47,3,0.850,375,58.9,4.16,5,0.725,485,67.5,4.06,5,0.475,2386,2426,1623,1656,1855,1874
2023-07-24 11:19:00,598,83.7,4.57,4,537,77.2,4.43,3,0.732,334,56.4,4.46,5,0.522,615,82.2,4.54,3,0.778,377,57.8,4.11,5,0.667,478,68.4,4.10,5,0.604,2393,2390,1611,1668,1846,1883
2023-07-24 11:20:00,594,82.5,4.58,4,534,76.1,4.47,3,0.720,278,49.8,4.45,5,0.575,618,80.0,4.48,3,0.538,373,58.4,4.20,5,0.806,486,68.4,4.13,5,0.502,2377,2431,1602,1671,1854,1866
2023-07-24 11:21:00,601,83.5,4.59,4,533,77.8,4.49,3,0.740,275,45.8,4.43,5,0.565,621,81.3,4.53,3,0.726,370,58.5,4.23,5,0.866,486,69.7,4.20,5,0.445,2405,2430,1599,1652,1864,1848
2023-07-24 11:22:00,603,83.4,4.54,4,526,77.7,4.60,3,0.740,326,51.0,4.36,5,0.612,621,83.0,4.48,3,0.405,372,57.7,4.21,5,0.748,485,68.7,4.21,5,0.404,2412,2425,1579,1628,1863,1862
2023-07-24 11:23:00,601,83.7,4.58,4,531,76.4,4.49,3,0.800,331,59.6,4.49,4,0.653,622,84.0,4.54,3,0.533,369,57.8,4.22,5,0.681,483,69.3,4.17,5,0.415,2403,2416,1593,1657,1866,1843
2023-07-24 11:24:00,603,83.2,4.58,4,527,77.7,4.57,3,0.727,400,64.8,4.43,4,0.629,609,81.2,4.51,3,0.697,371,58.0,4.22,5,0.634,486,69.6,4.11,5,0.428,2413,2428,1581,1600,1827,1853
2023-07-24 11:25:00,606,83.5,4.57,4,525,76.4,4.47,3,0.777,402,64.8,4.42,4,0.578,613,82.7,4.45,3,0.618,370,58.8,4.26,5,0.843,490,68.7,4.09,5,0.469,2424,2448,1575,1606,1840,1849
2023-07-24 11:26:00,602,84.4,4.61,4,519,76.4,4.46,3,0.744,398,63.1,4.44,4,0.634,460,75.7,4.34,3,0.617,282,52.8,4.19,5,0.823,488,68.6,4.12,5,0.532,2407,2441,1557,1592,1380,1412
2023-07-24 11:27:00,607,84.6,4.60,4,519,75.1,4.40,3,0.701,397,63.7,4.42,4,0.454,462,65.7,4.13,3,0.661,282,51.6,4.18,3,0.782,489,70.0,4.13,5,0.656,2427,2444,1558,1587,1387,1410
2023-07-24 11:28:00,607,84.8,4.54,4,520,73.1,4.36,3,0.745,398,64.2,4.46,4,0.516,454,64.5,4.16,3,0.573,455,65.1,4.22,3,0.724,491,68.9,4.03,5,0.540,2430,2454,1559,1593,1362,1366
2023-07-24 11:29:00,608,84.2,4.57,4,511,73.7,4.36,3,0.583,394,63.6,4.42,4,0.633,459,65.3,4.06,3,0.649,461,69.6,4.28,3,0.560,490,68.4,4.02,5,0.489,2431,2450,1534,1576,1378,1383
2023-07-24 11:30:00,613,84.2,4.55,4,513,72.8,4.47,3,0.663,398,60.5,4.37,4,0.678,456,65.3,4.13,3,0.650,455,69.3,4.14,3,0.743,488,67.5,4.03,5,0.398,2454,2439,1539,1593,1367,1364
2023-07-24 11:31:00,612,84.8,4.56,4,511,72.6,4.44,3,0.630,389,61.1,4.43,4,0.631,521,67.8,4.32,3,0.705,509,71.3,4.48,3,0.657,497,68.4,4.08,5,0.478,2446,2484,1534,1556,1564,1526
2023-07-24 11:32:00,607,84.4,4.59,4,502,71.6,4.36,3,0.850,387,62.7,4.43,4,0.639,609,76.6,4.29,3,0.662,439,61.5,4.39,4,0.461,496,70.1,4.12,5,0.538,2427,2480,1507,1550,1826,1757
2023-07-24 11:33:00,620,82.8,4.58,4,506,71.0,4.29,3,0.857,388,61.9,4.40,4,0.590,608,80.8,4.35,3,0.666,452,65.2,4.21,4,0.588,491,69.2,4.11,5,0.496,2482,2457,1517,1552,1823,1806
2023-07-24 11:34:00,611,83.4,4.61,4,501,72.2,4.39,3,0.850,380,61.8,4.41,4,0.609,606,80.4,4.40,3,0.696,453,65.6,4.20,4,0.639,491,69.6,4.09,5,0.581,2444,2453,1504,1518,1819,1814
2023-07-24 11:35:00,613,85.2,4.61,4,495,71.9,4.43,3,0.717,383,61.1,4.41,4,0.762,605,80.2,4.37,3,0.599,456,67.5,4.23,4,0.743,499,69.9,4.12,5,0.554,2451,2493,1485,1531,1814,1826
